Estrutura,TamanhoN,Padrao,Operacao,TempoMedio_ms,DesvioPadrao_ms,Rotacoes,Altura
AVL,50000,Aleatorio,Remocao,15.2836,0.6311,-,-
LLRB,50000,Aleatorio,Insercao,19.5933,0.5573,59226,21
LLRB,50000,Aleatorio,Busca,5.9910,0.0967,-,-
LLRB,50000,Aleatorio,Remocao,39.3029,1.9904,-,-
BST,50000,Crescente,Insercao,7216.0104,52.1998,0,49999
BST,50000,Crescente,Busca,6285.5921,26.8950,-,-
BST,50000,Crescente,Remocao,4568.1319,38.3803,-,-
AVL,50000,Crescente,Insercao,5.5372,0.0814,49984,15
AVL,50000,Crescente,Busca,7.7120,0.3416,-,-
AVL,50000,Crescente,Remocao,16.4506,1.4394,-,-
LLRB,50000,Crescente,Insercao,14.1718,1.9095,49985,15
LLRB,50000,Crescente,Busca,8.2452,0.6411,-,-
LLRB,50000,Crescente,Remocao,39.4407,0.4700,-,-
BST,50000,Decrescente,Insercao,7392.1851,37.6817,0,49999
BST,50000,Decrescente,Busca,3813.6558,24.3885,-,-
BST,50000,Decrescente,Remocao,4160.0426,21.9865,-,-
AVL,50000,Decrescente,Insercao,5.6736,0.0351,49984,15
AVL,50000,Decrescente,Busca,7.4734,0.1299,-,-
AVL,50000,Decrescente,Remocao,15.1059,0.5641,-,-
LLRB,50000,Decrescente,Insercao,17.7824,0.9039,49979,20
LLRB,50000,Decrescente,Busca,7.6065,0.5561,-,-
LLRB,50000,Decrescente,Remocao,39.0022,0.4348,-,-
BST,100000,Aleatorio,Insercao,28.9952,1.4960,0,43
BST,100000,Aleatorio,Busca,14.4558,0.0922,-,-
BST,100000,Aleatorio,Remocao,29.7535,1.2733,-,-
AVL,100000,Aleatorio,Insercao,37.4432,1.5853,69920,19
AVL,100000,Aleatorio,Busca,18.0261,0.2918,-,-
AVL,100000,Aleatorio,Remocao,42.2678,1.2673,-,-
LLRB,100000,Aleatorio,Insercao,43.6651,0.6690,118191,23
LLRB,100000,Aleatorio,Busca,13.8336,0.0697,-,-
LLRB,100000,Aleatorio,Remocao,88.1202,4.1835,-,-
BST,100000,Crescente,Insercao,43152.6620,904.9096,0,99999
BST,100000,Crescente,Busca,30364.4930,195.0154,-,-
BST,100000,Crescente,Remocao,26546.6747,726.3443,-,-
AVL,100000,Crescente,Insercao,11.5225,0.0545,99983,16
AVL,100000,Crescente,Busca,16.9817,0.5429,-,-
AVL,100000,Crescente,Remocao,41.5219,1.3402,-,-
LLRB,100000,Crescente,Insercao,30.4597,1.4278,99984,16
LLRB,100000,Crescente,Busca,18.9060,0.7816,-,-
LLRB,100000,Crescente,Remocao,87.0997,0.9878,-,-
BST,100000,Decrescente,Insercao,44873.4087,1253.4690,0,99999
BST,100000,Decrescente,Busca,17654.7670,257.2345,-,-
BST,100000,Decrescente,Remocao,25641.7472,612.4783,-,-
AVL,100000,Decrescente,Insercao,11.9941,0.1714,99983,16
AVL,100000,Decrescente,Busca,18.3553,0.8668,-,-
AVL,100000,Decrescente,Remocao,47.0505,1.2901,-,-
LLRB,100000,Decrescente,Insercao,42.5467,1.9005,99978,21
LLRB,100000,Decrescente,Busca,17.0655,0.5610,-,-
LLRB,100000,Decrescente,Remocao,89.6061,4.4817,-,-
